_id,EKITALDIA/EJERCICIO,LINEA_KODEA/CODIGO LINEA,LINEA/LINEA,DENBORALDI/TEMPORADA,EGUN MOTA/TIPO DIA,KOPURUA/NUMERO DIAS,ESPEDIZIOAK EGUNEAN/EXPEDICIONES AL DIA,ESPEDIZIOAK GUZTIRA/TOTAL EXPEDICIONES,JOANAK EGUNEAN/IDAS AL DIA,JOANAK GUZTIRA/TOTAL IDAS,ITZULIAK EGUNEAN/VUELTAS AL DIA,ITZULIAK GUZTIRA/TOTAL VUELTAS
63,2025,A2318,Termibus - UPV/EHU (Autopista),EHU Eskola-egunak,Laborable,198,69,13662,35,6930,34,6732
64,2025,A2318,Termibus - UPV/EHU (Autopista),EHU Murriztua,Laborable,32,23,736,12,384,11,352
65,2025,A2318,Termibus - UPV/EHU (Autopista),Gabonak (24-31),Laborable,1,22,22,12,12,10,10
66,2025,A2321,Santutxu - UPV/EHU (Autopista),EHU Eskola-egunak,Lunes a Jueves,138,6,828,3,414,3,414
67,2025,A2321,Santutxu - UPV/EHU (Autopista),EHU Eskola-egunak,Laborable,173,28,4844,14,2422,14,2422
68,2025,A2321,Santutxu - UPV/EHU (Autopista),EHU Murriztua,Laborable,32,28,896,14,448,14,448
69,2025,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,Bakarra,Festivo,63,16,1008,8,504,8,504
70,2025,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,Bakarra,Laborable,248,34,8432,17,4216,17,4216
71,2025,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,Bakarra,Sabado,50,32,1600,16,800,16,800
72,2025,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,Gabonak (24-31),Laborable,2,29,58,15,30,14,28
73,2025,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,Gabonak (25 -1),Festivo,2,11,22,5,10,6,12
74,2025,A2324,BILBAO - UPV/EHU (Enekuri),EHU Eskola-egunak,Laborable,173,12,2076,5,865,7,1211
75,2025,A2326,BARAKALDO - UPV/EHU,EHU Eskola-egunak,Laborable,173,22,3806,12,2076,10,1730
76,2025,A2326,BARAKALDO - UPV/EHU,EHU Murriztua,Laborable,32,21,672,11,352,10,320
77,2025,A2336,MUSKIZ - UPV/EHU,EHU Eskola-egunak,Lunes a Jueves,164,10,1640,4,656,6,984
78,2025,A2336,MUSKIZ - UPV/EHU,EHU Eskola-egunak,Viernes,41,10,410,4,164,6,246
79,2025,A2610,GALDAKAO - UPV/EHU,EHU Eskola-egunak,Laborable,173,24,4152,13,2249,11,1903
80,2025,A2610,GALDAKAO - UPV/EHU,EHU Murriztua,Laborable,32,22,704,11,352,11,352
81,2025,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,EHU Eskola-egunak,Laborable,173,10,1730,5,865,5,865
